Title,Licensee,Released
1942,Capcom,2000-05-01
2-in-1 Asteroids / Missile Command,Nintendo,1995-07-01
2-in-1 Centipede / Millipede,Nintendo,1995-08-01
2-in-1 Defender / Joust,Nintendo,1995-10-01
2-in-1 Galaga / Galaxian,Nintendo,1995-09-01
4-in-1 Funpak: Volume 1,Interplay,1992-09-01
4-in-1 Funpak: Volume 2,Interplay,1993-08-01
A*mazing Tater,Atlus Software,1992-02-01
"Addams Family, The",Ocean,1992-01-01
"Addams Family: Pugsley's Scavenger Hunt, The",Ocean,1993-07-01
Adventure Island,Hudson Soft,1992-02-01
Adventure Island II: Aliens in Paradise,Hudson Soft,1993-02-01
"Adventures of Star Saver, The",Taito Software,1992-03-01
Aerostar,Vic Tokai,1991-09-01
Alfred Chicken,Mindscape,1994-02-01
Alien vs. Predator: The Last of His Clan,Activision,1993-11-01
Alien3,LJN,1993-01-01
Alleyway,Nintendo,1989-08-01
All-Star Baseball 2000,Acclaim,1999-05-01
All-Star Baseball '99,Acclaim,1998-05-01
Altered Space,Sony Imagesoft,1991-09-01
Amazing Penguin,Natsume,1990-12-01
"Amazing Spider-Man , The",LJN,1990-07-01
Animaniacs,Konami,1995-07-01
Antz,Infogrames,1999-10-01
Arcade Hit: 720 Degrees,Midway,1999-03-01
Arcade Hit: Defender/Joust,Midway,1999-03-01
Arcade Hit: Spy Hunter/Moon Patrol,Midway,1999-05-01
Asteroids,Accolade,1992-02-01
Atomic Punk,Hudson Soft,1991-10-01
Attack of the Killer Tomatoes,THQ,1992-01-01
Azure Dreams,Konami,2000-02-01
Avenging Spirit,Jaleco,1992-12-01
Babe and Friends,Crave Entertainment,1999-11-01
Ballistic,Infogrames,1999-11-01
Balloon Kid,Nintendo,1990-10-01
Barbie Game Girl,Hi-Tech,1992-10-01
Barbie: Ocean Discovery,Mattel,1999-05-01
Barbie Fashion Pack Games,Mattel,2000-09-01
Bart Simpson's Escape from Camp Deadly,Acclaim,1991-11-01
Baseball,Nintendo,1989-08-01
Bases Loaded,Jaleco,1990-07-01
Bassmasters 2000,THQ,1999-11-01
Batman,Sunsoft,1990-06-01
Batman Forever,Acclaim,1995-08-01
Batman: Return of the Joker,Sunsoft,1992-05-01
Batman: The Animated Series,Konami,1993-11-01
Battle Arena Toshinden,Nintendo,1996-11-01
Battle Bull,Seta,1991-01-01
Battle Unit Zeoth,Jaleco,1991-07-01
Battle Zone/Super Breakout,Black Pearl Software,1996-10-01
Battleship,Mindscape,1992-12-01
Battletoads,Tradewest,1991-11-01
Battletoads & Double Dragon: The Ultimate Team,Tradewest,1993-12-01
Battletoads in Ragnarok's World,Tradewest,1993-06-01
Beauty and the Beast,Nintendo,1999-10-01
Beavis and Butthead,GT Interactive,1999-03-01
Beetlejuice,LJN,1992-01-01
Best of the Best: Championship Karate,Electro Brain,1992-12-01
Bill & Ted's Excellent Game Boy Adventure,LJN,1991-08-01
Bill Elliot's Nascar Fast Tracks,Konami,1991-12-01
Bionic Battler,Electro Brain,1992-11-01
Bionic Commando,Capcom,1992-10-01
Black Bass Lure Fishing,Hot-B,1994-01-01
Blades of Steel,Ultra Soft,1991-08-01
Blaster Master Boy,Sunsoft,1992-02-01
Blaster Master: Enemy Below,Sunsoft,2000-08-01
"Blues Brothers, The",Titus,1992-06-01
Bo Jackson's Hit and Run! Baseball and Football,THQ,1991-06-01
Boggle Plus,Parker Brothers,1992-02-01
Bomberman GB,Nintendo,1998-04-01
Bomberman Quest,Electro Brain,1999-11-01
Bonk's Adventure,Hudson Soft,1992-12-01
Bonk's Revenge,Hudson Soft,1994-11-01
Boomer's Adventure in Asmik World,Asmik,1990-04-01
Boxxle,FCI,1990-02-01
Boxxle II,FCI,1992-06-01
Brain Drain,Acclaim,1998-03-01
Brainbender,Electro Brain,1991-11-01
Bram Stoker's Dracula,Sony Imagesoft,1993-09-01
BreakThru!,Spectrum Holobyte,1995-01-01
Bubble Bobble,Taito Software,1991-03-01
Bubble Bobble: Part 2,Taito Software,1993-07-01
Bubble Ghost,FCI,1990-11-01
Bubsy 2,SVG Distribution,1998-08-01
"Bugs Bunny Crazy Castle 2 , The",Nintendo,1991-09-01
"Bugs Bunny Crazy Castle, The",Nintendo,1990-03-01
Bugs Bunny: Crazy Castle 3,Nintendo,1999-01-01
Burai Fighter Deluxe,Taxan,1991-01-01
Burgertime Deluxe,Data East,1991-03-01
Bust-A-Move 4,Acclaim,1999-06-01
Bust-A-Move II,Acclaim,1998-02-01
Buster Bros.,Hudson Soft,1993-10-01
