Title,Licensee,Released
10 Pin Bowling,Majesco,1999-08-01
1942,Capcom,2000-05-01
3D Ultra Thrillride Pinball,Havas Interactinve,2000-12-01
Action Man: Search For Base X,THQ,2001-02-01
Airforce Delta,Konami,2000-11-01
Aliens: Thanatos Encounter,THQ,2001-03-01
All-Star Baseball 2000,Acclaim,1999-05-01
All-Star Baseball 2001,Acclaim,2000-06-01
Alone in the Dark,Infogrames,2001-06-01
Animorphs,Ubi Soft,2000-11-01
Antz Racing,Acclaim,2001-06-01
Armada FX Racers,Metro 3D Studios,2000-09-01
Armorines,Acclaim,1999-12-01
Army Men,3DO,2000-02-01
Army Men: Air Combat,3DO,2000-11-01
Army Men: Portal Runner,3DO,2001-09-01
Army Men: Sarge's Heroes 2,3DO,2000-11-01
Aurthur's Absolutely Fun Day,Mattel,2000-09-01
Austin Powers: Oh Behave,Take 2 Interactive,2000-09-01
Austin Powers: Welcome to my Underground Lair,Take 2 Interactive,2000-09-01
Barbie Kelly Club,Mattel,
Barbie Magic Genie,Mattel,2000-11-01
Barbie Pet Rescue,Mattel,2001-09-01
Batman Beyond: Return of the Joker,Kemco,2000-11-01
Batman: Chaos in Gotham City,Ubi Soft,2001-03-01
Battletanx,3DO,2000-03-01
Billy Bob's Huntin' and Fishing,Midway,1999-11-01
Bionic Commando: Elite Forces,Nintendo,2000-01-01
Blade,Activision,2000-12-01
Blue's Clues Alphabet Book,Mattel,2001-01-01
Bob the Builder,THQ,2001-09-01
Bomberman Max: Blue Champion,Vatical Entertainment,2000-05-01
Bomberman Max: Red Chamion,Vatical Entertainment,2000-05-01
Buffy the Vampire Slayer,THQ,2000-09-01
Bugs Bunny Crazy Castle 4,Kemco,2000-07-01
Bust A Move Milenium,Acclaim,2000-10-01
Buzz Lightyear of Star Command,Activision,2000-11-01
Caesar's Palace 2,Interplay,1999-07-01
Cannon Fodder,Codemasters,2000-12-01
Carmageddon: Carpalypse Now,Titus,2000-04-01
Casper the Friendly Ghost,Interplay,2000-05-01
Catwoman,Kemco,1999-12-01
Catz,Mindscape,1999-12-01
Championship Motocross2 featuring Ricky Carmichael,THQ,2000-10-01
Chicken Run,THQ,2000-11-01
Commander Keen,Activision,2001-05-01
Croc,THQ,2000-06-01
Croc 2,THQ,2001-01-01
Cruis'n Exotica,Midway,2000-11-01
Crystalis,Nintendo,2000-06-01
Cubix: Robots for Everyone Race n' Robots,3DO,2001-11-01
Cybertiger,Electronic Arts,2000-11-01
Dave Mirra Freestyle BMX,Acclaim,2000-11-01
Deer Hunter,Vatical Entertainment,1999-12-01
Dexter's Laboratory: Robot Rampage,Bay Area Multimedia,2001-01-01
"Disney/Pixar Monsters, Inc",THQ,2001-10-01
Disney's Aladdin,Ubi Soft,2000-11-01
Disney's Atlantis: The Lost Empire,THQ,2001-06-01
Disney's Tarzan,Activision,1999-06-01
Disney's The Emperor's New Groove,Ubi Soft,2000-12-01
Disney's: 102 Dalmations,Eidos,2000-12-01
Disneys: Alice in Wonderland,Nintendo,2000-09-01
Disneys: Dinosaur,Ubi Soft,2000-05-01
Disney's: The Jungle Book,Ubi Soft,2000-11-01
Disney's: Toy Story Racer,Activision,2001-03-01
Diva Starz: Mall Mania,Universal Interactive Studios,2001-11-01
Dogz,Mindscape,1999-12-01
Donkey Kong Country,Nintendo,2000-11-01
Doug's Big Game,NewKidco,2000-12-01
Dracula: Crazy Vampire,Dreamcatcher Interactive,2001-10-01
Dragon Ball Z: Legendary Super Warriors,Infogrames,2002-11-01
Dragon Tales Adventure,NewKidco,2001-11-01
Dragon Tales: Dragon Wings,NewKidco,2000-12-01
Dragon Warrior 3,Enix,2001-07-01
Dragon's Lair,Capcom,2001-02-01
Driver: You are the Wheelman,GT Interactive,2000-04-01
Duke Nukem,GT Interactive,1999-09-01
Dukes of Hazzard,Southpeak Interactive,2000-11-01
ECW Hardcore Revolution,Acclaim,2000-02-01
Elmo in Grouchland,NewKidco,1999-10-01
ESPN International Track & Field,Konami,2000-09-01
ESPN National Hockey Night,Konami,2001-02-01
ET and the Cosmic Garden,Newkidco,
ET: Digital Companion,NewKidco,2001-12-01
ET: Escape From Planet Earth,NewKidco,2001-12-01
F-1 2000,EA Sports,2000-12-01
F-18 Thunder Strike,Majesco,2000-05-01
Fisher Price Rescue Heroes Fire Frenzy,Mattel,2001-01-01
Force 21,Red Storm,2000-12-01
Frogger 2,Majesco,2000-09-01
Galaga,Majesco,2000-09-01
Galaxian,Majesco,
Gladiator,Sierra,
Gobs of Games,3DO,2000-09-01
Godzilla: The Series-Monster Wars,Crave,2000-12-01
Gold and Glory: The Road to El Dorado,Ubi Soft,2000-06-01
Grand Theft Auto 2,Take 2 Interactive,2000-12-01
Hamtaro: Ham Hams Unite!`,Nintendo,
Harley Davidson: Race Across America,Infogrames,2000-12-01
Harry Potter and the Chamber of Secrets,Electronic Arts,2002-11-01
Harry Potter and the Sorcerer's Stone,Electronic Arts,2001-11-01
Harvest Moon 3,Natsume,2001-11-01
Hercules,Titus,2002-04-01
Heroes of Might and Magic,3DO,2000-06-01
Heroes of Might and Magic 2,3DO,2000-12-01
Hoyle Card Games,Havas Interactinve,2000-12-01
Hoyle Casino,Havas Interactinve,2000-10-01
Indiana Jones and the Infernal Machine,THQ,2001-03-01
Inspector Gadget,Ubi Soft,2001-03-01
Jeremy McGrath's Supercross 2000,Acclaim,2000-03-01
Jim Henson's Muppets,Take 2 Interactive,2000-04-01
Jumpstart Dino Adventure Field Trip,Knowledge Adventure,2001-11-01
Ken Griffey Jr's Slugfest,Nintendo,1999-06-01
Kirby's Tilt n Tumble,Nintendo,2001-04-01
Klax,Midway,1999-04-01
Knockout Kings,EA Sports,1999-12-01
Lego Alpha Team,Lego Media,2000-11-01
Lego Island 2: Bricksters Revenge,Lego Media,2001-03-01
Lego Racers,Lego Media,2001-01-01
Lego Stunt Rally,Lego Media,2001-01-01
Lemmings,Take 2 Interactive,2000-12-01
Lil' Monsters,Agetec,2000-08-01
Little Nicky,Ubi Soft,2000-12-01
Logical,Sunsoft,1999-04-01
Looney Tunes Collector: Alert!,Infogrames,2000-06-01
Looney Tunes Racing,Infogrames,2000-12-01
Lucky Luke,Infogrames,1999-07-01
Lufia: The legend Returns,Natsume,2001-09-01
M and M's Minis Madness,Majesco,2000-12-01
Madden NFL 2001,Electronic Arts,2000-11-01
Madden NFL 2002,Electronic Arts,2001-09-01
Magical Drop,Classified Games,2000-10-01
Magical Tetris Challenge,Capcom,2000-02-01
Magi-Nation,Interactive Imagination,2001-03-01
Marble Madness,Midway,1999-12-01
Mario Golf,Nintendo,1999-10-01
Mario Tennis,Nintendo,2000-01-01
Marvin Strikes Back,Infogrames,2000-12-01
Mary Kate and Ashley Crush Course,Acclaim,2001-11-01
Mary Kate and Ashley winner's Circle,Acclaim,2001-03-01
Mask of Zorro,Sunsoft,1999-12-01
Mat Hoffman BMX Pro Racer,Activision,
Matchbox Emergency Patrol,Mattel,2001-06-01
Mega Man Extreme 2,Capcom,2001-11-01
Men in Black 2,Crave,2000-07-01
Metal Gear Solid,Konami,2000-05-01
Mia Hamm Soccer Shootout,Southpeak Interactive,2000-10-01
Mickey's Racing Adventure,Nintendo,1999-11-01
Mickey's Speedway USA,Nintendo,2001-03-01
Micro Machines 1&2 Twin Turbo,THQ,2000-01-01
Micro Machines V3,THQ,2000-11-01
Microsoft Entertainment Pak,Classified Games,2001-06-01
Microsoft Pinball,Classified Games,2001-05-01
Microsoft Puzzle Collection,Classified Games,2000-10-01
Millennium Winter Sports,Konami,2000-04-01
Missile Command,Majesco,1999-09-01
Mission Impossible,Infogrames,2000-02-01
Monster Rancher Explorer,Tecmo,2000-10-01
Motocross Maniacs 2,Konami,1999-09-01
Mr. Driller,Namco,2000-08-01
Mr. Nutz,Infogrames,1999-12-01
MTV Sports: BMX,THQ,2000-12-01
MTV Sports: Pure Ride,THQ,2000-12-01
MTV Sports: Skateboarding,THQ,2000-08-01
NASCAR 2000,EA Sports,2000-07-01
NASCAR Challenge,Hasbro Interactive,1999-12-01
NASCAR Heat,Majesco,2000-12-01
NASCAR Racers,Majesco,2000-12-01
NBA Showtime,Midway,2000-01-01
NBA Hoopz,Midway,2001-02-01
NBA Jam 2001,Electronic Arts,2000-12-01
NFL Blitz 2000,Midway,1999-12-01
NFL Blitz 2001,Midway,2000-09-01
NHL Blades of Steel 2000,Konami,2000-04-01
NHL Blades of Steel 99,Konami,1999-05-01
Nicktoons Racing,Majesco,2000-12-01
NSYNC: Get to the Show,Infogrames,2001-12-01
Perfect Dark,Nintendo,2000-08-01
Playmobil Laura,Ubi Soft,2000-12-01
Pocket GT Racer,Interplay,
Pokemon Crystal,Nintendo,2001-07-01
Polaris Snocross,Vatical Entertainment,2000-02-01
Power Rangers : Time Force,THQ,2001-05-01
Power Rangers Lightspeed Rescue,THQ,2000-06-01
Power Spike Pro Beach Volleyball,Infogrames,2000-12-01
Powerpuff Girls: Bad Mojo,Bay Area Multimedia,2000-11-01
Powerpuff Girls: Battle Him,Bay Area Multimedia,2001-03-01
Powerpuff Girls: Paint the Town Greensville,Bay Area Multimedia,2000-11-01
Pro Darts,Vatical Entertainment,2000-02-01
Pro Pool,Codemasters,2000-08-01
Puzzled,Conspiracy,2001-03-01
Q*Bert,Majesco,2000-09-01
Rainbow Six,Red Storn,2000-04-01
Rampage 2: Universal Tour,Midway,1999-11-01
Rampart,Midway,1999-11-01
Rayman,Ubi Soft,2000-03-01
Razor Freestyle Scooter,Crave Entertainment,2001-06-01
Ready 2 Rumble,Midway,1999-12-01
Resident Evil Gaiden,Capcom,2002-06-01
Return of the Ninja,Natsume,2001-06-01
Road Rash,Electronic Arts,2000-11-01
Robocop,Titus,
Rocket Power: Gettin Air,THQ,2001-03-01
Rocky Mountain Trophy Hunter,GT Interactive,2000-09-01
Roswell,Red Storm,2001-06-01
Rugrats in Paris: The Movie,THQ,2000-11-01
Rugrats: Totally Angelica,THQ,2000-05-01
Rush 2049,Midway,2000-09-01
Sabrina the Animated Series: Spooked!,Knowledge Adventure,2001-11-01
SabrinaThe Animated Series: Zapped,Havas Interactive,2000-11-01
Scooby Doo: Classic Creep Capers,THQ,2001-02-01
Sesame Street Sports,NewKidco,2001-12-01
Sgt Rock: On th eFrontline,Bay Area Multimedia,2000-12-01
Shantae,Capcom,2002-06-01
Shaun Palmer's Pro Snowboarding,Activision,2001-11-01
Shrek: Fairytale Freakdown,TDK Mediactive,2001-05-01
Smurfs Nightmare,Infogrames,1999-06-01
Snoopy Tennis,Infogrames,2001-04-01
Snow White and the Seven Dwarves,Ubi Soft,2001-11-01
Space Marauder,Agetec,2000-08-01
Spawn,Konami,1999-09-01
Spider-Man,Activision,2000-08-01
Spider-Man 2: The Sinister Six,Activision,2001-05-01
Spy vs. Spy,Kemco,1999-06-01
Star Wars Episode One: Obi Wan'sAdventures,THQ,2000-11-01
Star Wars: Episode One Racer,Nintendo,1999-12-01
Street Fighter Alpha,Capcom,2000-03-01
Stuart Little,Activision,2001-08-01
Super Mario Brothers Deluxe,Nintendo,1999-05-01
Tech Dech Skateboarding,Activision,2001-03-01
Test Drive Cycles,Infogrames,2000-08-01
Test Drive Le Mans,Infogrames,2000-06-01
The Flintstones Starring in Burgertime in Bedrock,Classified Games,2001-06-01
The Grinch,Konami,2000-11-01
The Land Before Time,Conspiracy Entertainment,2001-07-01
The Legend of Zelda: Oracle of Ages,Nintendo,2001-05-01
The Legend of Zelda: Oracle of Seasons,Nintendo,2001-05-01
The Lion King 2,Activision,2000-12-01
The Little Mermaid 2: Pinball Frenzy,Nintendo,2000-09-01
The Mummy,Konami,2000-12-01
The Mummy Returns,Universal Interactive,2001-05-01
The Simpsons: Treehouse of Terror,THQ,2001-03-01
The World is not Enough,Electronic Arts,2001-09-01
Tiny Toon Adventures: Buster Saves the Day,Conspiracy,2001-07-01
Toki Tori,Capcom,2001-09-01
Tom and Jerry in Mouse Attacks,NewKidco,2000-12-01
Tomb Raider,Eidos Interactive,2000-06-01
Tomb Raider: Curse of the Sword,Activision,2001-07-01
