Title,Licensee,Released
1080 Snowboarding,Nintendo,1998-04-01
Aero Fighters Assault,Video System,1997-11-01
Aerogauge,Ascii,1998-04-01
Aidyn Chronicles: The First Mage,THQ,2001-03-01
All-Star Baseball 2000,Acclaim,1999-04-01
All-Star Baseball 2001,Acclaim,2000-03-01
All-Star Baseball '99,Acclaim,1998-05-01
All-Star Tennis 99,Ubi Soft,1999-09-01
Armorines: Project SWARM,Acclaim,1999-11-01
Army Men: Sarge's Heroes,3DO,1999-09-01
Army Men: Air Combat,3DO,2000-07-01
Army Men: Sarges Heroes 2,3DO,2000-09-01
Asteroids Hyper,Crave Entertainment,1999-12-01
Automobili Lamborghini,Titus,1997-11-01
Banjo-Kazooie,Nintendo,1998-06-01
Banjo Tooie,Nintendo,2000-11-01
Bass Masters 2000,Take 2 Interactive,1999-12-01
Batman Beyond: Return of the Joker,Kemco,2000-12-01
BattleTanx,3DO,1999-01-01
Battletanx 2: Global Assault,3DO,1999-10-01
Battlezone: Rise of the Black Dogs,Crave Entertainment,2000-03-01
Beetle Adventure Racing,EA Sports,1999-03-01
BioFreaks,Midway,1998-05-01
Big Mountain 2000,South Peak Interactive,2000-10-01
Blast Corps.,Nintendo,1997-03-01
Blitz 2000,Midway,1999-08-01
Blues Brothers 2000,Titus,2000-11-01
Body Harvest,Midway,1998-10-01
Bomberman 64,Nintendo,1997-12-01
Bomberman 64: Second Attack,Vatical Entertainment,2000-05-01
Bomberman Hero,Nintendo,1998-08-01
Brunswick Circuit Pro Bowling,THQ,1999-12-01
Buck Bumble,Ubi Soft,1998-11-01
Bust A Move 2,Acclaim,1998-05-01
Bust A Move 99,Acclaim,1999-04-01
California Speed,Midway,1999-03-01
Carmageddon 64,Titus,2000-07-01
Castlevania,Konami,1999-01-01
Castlevania: Legacy of Darkness,Konami,1999-12-01
Chameleon Twist,Sunsoft,1997-12-01
Chameleon Twist 2,Sunsoft,1999-05-01
Charlie Blast's Territory,Kemco,1999-04-01
Chef's Luv Shack,Acclaim,1999-12-01
Chopper Attack,Midway,1998-06-01
Clay Fighter 63 1/3,Interplay,1997-10-01
Clay Fighter: Sculptor's Cut,Interplay,1998-05-01
Command and Conquer,Nintendo,1999-06-01
Conker's Bad Fur Day,Nintendo,2001-03-01
Cruis'n Exotica,Nintendo,2000-10-01
Cruis'n USA,Nintendo,1996-12-01
Cruis'n World,Nintendo,1998-09-01
Cybertiger 2000,EA Sports,2000-03-01
Daikatana 64,Kemco,2000-11-01
Dark Rift,Vic Tokai,1997-06-01
Deadly Arts,Konami,1998-09-01
Destruction Derby 64,THQ,1999-10-01
Diddy Kong Racing,Nintendo,1997-11-01
Disney's A Bug's Life,Activision,1999-05-01
Disney's Toy Story 2: Space Invaders,Activision,1999-11-01
Donald Duck's Quack Attack,Ubi Soft,2000-12-01
Disney's: Tigger's Honey Hunt,Ubi Soft,2000-11-01
Donkey Kong 64,Nintendo,1999-11-01
Doom 64,Midway,1997-04-01
Dr Mario,Nintendo,2001-04-01
Dual Heroes,Electro Brain,1998-11-01
Duke Nukem 64,GT Interactive,1997-11-01
Duke Nukem: Zero Hour,GT Interactive,1999-08-01
Earthworm Jim 3D,Interplay,1999-10-01
ECW Hardcore Revolution,Acclaim,2000-02-01
