Title,Licensee,Released
1942,Capcom,1986-11-01
1943,Capcom,1988-10-01
10 Yard Fight,Nintendo,1985-10-01
2-in-1 Super Mario Bros/Duck Hunt,Nintendo,1988-11-01
2-in-1 Super Spike V'Ball/World Cup Soccer,Nintendo,1990-12-01
3-D Worldrunner,Acclaim,1987-09-01
3-in-1 Super Mario Bros/Duck Hunt/World Class Track Meet,Nintendo,1990-12-01
720°,Mindscape,1989-11-01
8 Eyes,Taxan,1990-01-01
A Nightmare on Elm Street,LJN,1990-10-01
Abadox,Milton Bradley,1990-03-01
"Addams Family, The",Ocean,1992-01-01
"Addams Family: Pugsley's Scavenger Hunt, The",Ocean,1993-08-01
Advanced Dungeons & Dragons: Dragonstrike,FCI,1992-07-01
Advanced Dungeons & Dragons: Heroes of the Lance,FCI,1991-01-01
Advanced Dungeons & Dragons: Hillsfar,FCI,1993-02-01
Advanced Dungeons & Dragons: Pool of Radiance,FCI,1992-04-01
Adventure Island,Hudson Soft,1988-09-01
Adventure Island II,Hudson Soft,1991-02-01
Adventure Island III,Hudson Soft,1992-09-01
Adventures in the Magic Kingdom,Capcom,1990-06-01
"Adventures of Bayou Billy, The",Konami,1989-06-01
"Adventures of Dino Riki, The",Hudson Soft,1989-09-01
"Adventures of Gilligan's Island, The",Bandai,1990-07-01
"Adventures of Lolo II , The",Hal America,1990-03-01
"Adventures of Lolo III , The",Hal America,1991-09-01
"Adventures of Lolo, The",Hal America,1989-04-01
"Adventures of Rad Gravity, The",Activision,1990-12-01
"Adventures of Rocky & Bullwinkle and Friends, The",THQ,1992-12-01
"Adventures of Tom Sawyer, The",Seta,1989-08-01
Air Fortress,Hal America,1989-09-01
Airwolf,Acclaim,1989-06-01
Al Unser Jr.'s Turbo Racing,Data East,1990-03-01
Alfred Chicken,Mindscape,1994-02-01
Alien3,LJN,1993-03-01
All Pro Basketball,Vic Tokai,1989-12-01
Alpha Mission,SNK,1987-10-01
Amagon,American Sammy,1989-04-01
American Gladiators,Gametek,1991-10-01
Anticipation,Nintendo,1988-11-01
Arch Rivals: A Basket Brawl!,Acclaim,1990-11-01
Archon,Activision,1989-12-01
Arkanoid,Taito Software,1987-08-01
Arkista's Ring,American Sammy,1990-06-01
Astyanax,Jaleco,1990-03-01
Athena,SNK,1987-08-01
Athletic World,Bandai,1987-07-01
Attack of the Killer Tomatoes,THQ,1992-01-01
Back to the Future,LJN,1989-09-01
Back to the Future II & III,LJN,1990-09-01
Bad Dudes,Data East,1990-07-01
Bad News Baseball,Tecmo,1990-06-01
Bad Street Brawler,Mattel Inc.,1989-09-01
Balloon Fight,Nintendo,1986-06-01
Bandai Golf: Challenge Pebble Beach,Bandai,1989-02-01
Bandit Kings of Ancient China,Koei,1990-12-01
Barbie,Hi-Tech,1991-12-01
Bard's Tale,FCI,1991-11-01
Barker Bill's Trick Shooting,Nintendo,1990-08-01
Base Wars - Cyber Stadium Series,Ultra Soft,1991-06-01
Baseball,Nintendo,1985-10-01
Baseball Simulator 1.000,Culture Brain,1990-03-01
Baseball Stars,SNK,1989-07-01
Baseball Stars II,Romstar,1992-07-01
Bases Loaded,Jaleco,1988-07-01
Bases Loaded II: Second Season,Jaleco,1990-01-01
Bases Loaded III,Jaleco,1991-09-01
Bases Loaded IV,Jaleco,1993-04-01
Batman,Sunsoft,1990-02-01
Batman Returns,Konami,1993-01-01
Batman: Return of the Joker,Sunsoft,1991-12-01
Battle Chess,Data East,1990-07-01
"Battle of Olympus, The",Broderbund,1989-12-01
Battle Tank,Absolute,1990-09-01
Battleship,Mindscape,1993-09-01
Battletoads,Tradewest,1991-06-01
Battletoads & Double Dragon: The Ultimate Team,Tradewest,1993-06-01
Beetlejuice,LJN,1991-05-01
Best of the Best: Championship Karate,Electro Brain,1992-12-01
Bigfoot,Acclaim,1990-07-01
Bill & Ted's Excellent Video Game Adventure,LJN,1991-08-01
Bill Elliot's Nascar Challenge,Konami,1991-04-01
Bionic Commando,Capcom,1988-12-01
Black Bass,Hot-B,1989-09-01
Blades of Steel,Konami,1988-12-01
Blaster Master,Sunsoft,1988-11-01
Blue Marlin,Hot-B,1992-07-01
"Blues Brothers, The",Titus,1992-09-01
Bo Jackson Baseball,Data East,1991-10-01
Bomberman,Hudson Soft,1989-01-01
Bomberman II,Hudson Soft,1993-02-01
Bonk's Adventure,Hudson Soft,1994-01-01
Boulder Dash,JVC,1990-06-01
"Boy And His Blob, A",Absolute,1990-01-01
Bram Stoker's Dracula,Sony Imagesoft,1993-09-01
Break Time: The National Pool Tour,FCI,1993-01-01
BreakThru,Data East,1987-11-01
Bubble Bobble,Taito Software,1988-11-01
Bubble Bobble: Part 2,Taito Software,1993-08-01
Bucky O'Hare,Konami,1992-01-01
"Bugs Bunny Birthday Blowout, The",Seika,1990-09-01
"Bugs Bunny Crazy Castle, The",Seika,1989-08-01
Bump 'n' Jump,Vic Tokai,1988-12-01
Burai Fighter,Taxan,1990-03-01
Burgertime,Data East,1987-05-01
Cabal,Milton Bradley,1990-06-01
Caesar's Palace,Virgin Interactive,1992-12-01
California Games,Milton Bradley,1989-06-01
Captain America and the Avengers,Data East,1991-12-01
Captain Planet,Mindscape,1991-09-01
Captain Skyhawk,Milton Bradley,1990-06-01
Casino Kid,Sofel,1989-10-01
Casino Kid 2,Sofel,1993-04-01
Castelian,Triffix,1991-06-01
Castle of Dragon,Seta,1990-06-01
Castlequest,Ascii,1989-09-01
Castlevania,Konami,1987-05-01
Castlevania II: Simon's Quest,Konami,1988-12-01
Castlevania III: Dracula's Curse,Konami,1990-09-01
Caveman Games,Data East,1990-10-01
Championship Bowling,Romstar,1989-12-01
Championship Pool,Mindscape,1993-10-01
"Chessmaster, The",Hi-Tech,1990-01-01
Chip 'N Dale: Rescue Rangers,Capcom,1990-06-01
Chip 'N Dale: Rescue Rangers 2,Capcom,1994-01-01
Chubby Cherub,Bandai,1986-10-01
Circus Caper,Toho,1990-07-01
City Connection,Jaleco,1988-05-01
Clash at Demonhead,Vic Tokai,1990-01-01
Classic Concentration,Gametek,1990-09-01
Cliffhanger,Sony Imagesoft,1993-11-01
