Title,Licensee,Released
5-in-1 Super Mario All-Stars/Super Mario World,Nintendo,1994-12-01
"7th Saga, The",Enix,1993-09-01
A.S.P.: Air Strike Patrol,Seta,1995-01-01
Aaahh!!! Real Monsters,Majesco,1995-11-01
ABC's Monday Night Football,Data East,1993-12-01
ACME Animation Factory,Sunsoft,1994-11-01
ActRaiser,Enix,1991-11-01
ActRaiser 2,Enix,1993-11-01
Addams Family Values,Ocean,1995-02-01
"Addams Family, The",Ocean,1992-03-01
"Addams Family: Pugsley's Scavenger Hunt, The",Ocean,1993-02-01
"Adventure of Kid Kleets, The",Ocean,1994-08-01
"Adventures of Batman & Robin, The",Konami,1994-12-01
Adventures of Dr. Franken,DTMC,1993-12-01
"Adventures of Rocky & Bullwinkle and Friends, The",THQ,1993-06-01
Adventures of Yogi Bear,Cybersoft,1994-10-01
Aero Fighters,Video System,1994-11-01
Aero the Acro-bat,Sunsoft,1993-10-01
Aero the Acro-bat 2,Sunsoft,1994-11-01
Aerobiz,Koei,1993-02-01
Aerobiz SuperSonic,Koei,1994-08-01
Air Cavalry,Cybersoft,1995-06-01
Al Unser Jr.'s Road To The Top,Mindscape,1994-11-01
Alfred Chicken,Mindscape,1994-02-01
Alien vs. Predator,Activision,1993-09-01
Alien3,LJN,1993-05-01
American Gladiators,Gametek,1993-04-01
An American Tail: Fievel Goes West,Hudson Soft,1994-08-01
Andre Agassi Tennis,TecMagik,1994-05-01
Animaniacs,Konami,1994-11-01
Arcade's Greatest Hits: Atari Collection,Midway,1997-08-01
Arcana,Hal America,1992-05-01
Ardy Lightfoot,Titus,1996-02-01
Arkanoid: Doh It Again,Nintendo,1997-11-01
Art of Fighting,Takara,1993-12-01
Axelay,Konami,1992-09-01
B.O.B.,Electronic Arts,1993-06-01
Ballz 3-D,Accolade,1994-11-01
Barbie Super Model,Hi-Tech,1993-12-01
Bass Masters Classic,Malibu Games,1995-06-01
Bass Masters Classic: Pro Edition,Black Pearl Software,1996-07-01
Bassin's Black Bass with Hank Parker,Hot-B,1994-11-01
Batman Forever,Acclaim,1995-08-01
Batman Returns,Konami,1993-04-01
Battle Blaze,American Sammy,1993-12-01
